Facility,latitude,longitude
PGW Richmond,39.918693273614,-75.143617987563
Hilco,39.901730769214,-75.194551866633
PGW Passyunk,39.923530185557,-75.197665379617
Schuylkill River Tank Farm 1,39.914521928041,-75.215947289189
Schuylkill River Tank Farm 2,39.901447514852,-75.222852901320
Shuylkill River Tank Farm 3,39.898109618502,-75.287099044239
Enbridge,39.836528445560,-75.259316928382
PSEG,39.842321268406,-75.298475341680
Messer,39.843141112588,-75.376662438568
Monroe Energy,39.822810686708,-75.408795489235
Marcus Hook,39.812486075390,-75.415002556786
Versogen,39.772031163980,-75.575967186371
Laurel Booth Tank 1,39.901960434053,-75.495943915160
Laurel Booth Tank 2,39.892926370058,-75.479867410618
sHYp,39.667275469443,-75.557217868405
PBF Del City,39.584692886186,-75.633188691851
Salem Nuclear,39.465333702289,-75.534748133653
Holtec - Oyster Creek,39.814613894520,-74.205336232217
Marlin Gas Transportation,39.149451882471,-75.499091757269
Chesapeake Solar,38.659476978047,-75.202975967518
